country,year,wave,sex,age_6,education_c,education_l,A124_02,A124_06,A124_07,A124_08,A124_09,C002,E036,E037,E039,F114A,F115,F116,F117,F118,F119,F120,F121,F122,F123,G006,E069_01,E069_02,E069_04,E069_05,E069_06,E069_07,E069_08,E069_13,E069_17
ARG,1999,4,2,4,32004,2,0,0,0,0,0,2,5,10,6,1,1,1,1,10,10,10,10,10,1,1,2,4,4,4,4,4,4,4,-4
ARG,1999,4,2,2,32010,3,0,0,0,1,0,1,10,1,1,10,1,1,1,10,1,10,10,10,1,1,1,4,3,4,4,4,4,4,-4
ARG,1999,4,1,4,32003,1,0,0,1,1,1,1,10,1,1,1,10,1,1,1,1,1,10,1,1,-3,2,3,3,4,4,4,4,4,-4
ARG,1999,4,1,3,32005,2,0,0,0,0,0,2,1,1,1,1,1,1,1,10,1,1,10,10,1,1,4,4,3,4,2,4,3,2,-4
ARG,1999,4,1,1,32004,2,0,0,0,0,0,1,1,10,10,5,1,1,1,5,1,1,5,5,1,1,3,3,2,4,3,3,4,2,-4
ARG,1999,4,2,4,32005,2,0,0,0,0,0,2,6,6,1,1,1,2,1,10,6,6,6,9,1,1,3,3,1,4,3,4,4,4,-4
ARG,1999,4,2,2,32005,2,0,0,0,0,0,1,3,7,3,2,1,1,1,10,8,8,10,8,1,1,3,4,3,4,3,2,3,2,-4
ARG,1999,4,1,6,32009,3,0,0,0,1,1,-1,3,3,2,1,1,1,1,2,6,1,7,8,1,1,2,3,4,4,3,4,4,4,-4
ARG,1999,4,1,1,32006,3,0,0,1,1,0,1,3,10,3,5,10,10,1,10,4,10,10,7,1,4,3,4,3,4,4,4,4,3,-4
ARG,1999,4,1,3,32009,3,0,0,0,0,0,2,2,2,1,1,2,6,1,10,3,9,9,1,1,1,4,4,4,3,4,3,2,2,-4
ARG,1999,4,1,4,32004,2,0,0,0,0,0,1,2,7,5,1,1,1,1,-1,-1,-1,5,-1,5,1,3,4,4,4,4,4,4,4,-4
ARG,1999,4,2,4,32003,1,0,0,0,1,0,1,6,10,6,1,1,1,1,-1,-1,-1,6,-1,-1,1,4,-1,-1,-1,-1,-1,-1,-1,-4
ARG,1999,4,1,1,32006,3,0,0,0,0,0,1,5,8,10,1,1,1,1,-1,1,1,-1,1,1,2,3,4,4,4,4,4,4,4,-4
ARG,1999,4,2,5,32002,1,0,0,0,0,0,1,5,5,5,1,1,1,1,5,1,1,2,1,1,1,1,4,3,4,3,4,4,-1,-4
ARG,1999,4,2,2,32005,2,0,0,0,0,0,1,4,8,5,1,1,1,1,-1,1,1,5,1,-1,1,1,-1,1,-1,1,-1,-1,1,-4
ARG,1999,4,2,4,32002,1,1,0,1,0,0,1,10,1,1,5,10,1,1,1,1,1,10,1,1,1,1,2,3,3,4,3,4,4,-4
ARG,1999,4,1,1,32003,1,1,1,0,0,0,1,5,7,1,4,6,4,3,7,6,5,1,1,1,2,3,4,4,4,4,4,4,4,-4
ARG,1999,4,2,4,32002,1,0,0,0,0,0,1,-1,10,10,5,1,1,1,-1,-1,-1,7,-1,1,2,2,2,2,2,3,4,4,-1,-4
ARG,1999,4,2,1,32003,1,0,0,0,0,0,1,-1,10,10,1,10,10,1,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,-4
ARG,1999,4,2,3,32004,2,0,0,0,0,0,2,10,1,1,1,1,9,1,10,10,-1,1,10,8,3,3,3,2,4,4,4,4,4,-4
ARG,1999,4,2,4,32008,3,0,0,0,0,0,1,3,6,1,1,5,1,-1,1,1,1,1,1,1,3,1,3,2,4,4,3,3,3,-4
ARG,1999,4,2,4,32009,3,0,0,0,1,0,1,10,8,4,4,2,4,2,8,3,5,5,8,2,1,3,4,1,3,3,3,3,3,-4
ARG,1999,4,1,4,32007,3,0,0,0,0,0,1,1,5,6,1,1,5,1,1,7,6,8,-1,1,2,4,4,4,4,3,3,4,3,-4
ARG,1999,4,1,3,32009,3,0,0,0,0,0,1,2,3,2,1,1,1,1,5,3,3,5,2,2,2,3,4,2,4,4,3,3,2,-4
ARG,1999,4,1,6,32008,3,0,0,0,0,0,1,6,5,1,1,1,1,1,5,1,1,10,9,1,1,2,2,3,3,2,3,2,2,-4
ARG,1999,4,2,3,32005,2,0,0,0,0,0,1,1,3,3,3,3,6,6,6,6,6,10,1,1,2,1,3,3,2,3,3,3,3,-4
ARG,1999,4,2,2,32007,3,0,0,0,0,0,1,6,8,9,1,1,1,1,10,8,1,10,8,10,4,4,4,4,4,4,4,4,4,-4
ARG,1999,4,1,4,32004,2,0,0,0,1,0,1,4,9,3,2,2,2,1,4,6,5,6,6,1,2,4,4,3,3,3,3,4,3,-4
ARG,1999,4,2,5,32005,2,0,0,0,0,1,1,8,8,5,1,1,1,1,1,1,1,8,-1,4,1,2,2,2,4,-1,4,4,4,-4
ARG,1999,4,2,5,32003,1,0,0,0,1,0,1,-1,1,10,1,5,1,1,4,1,7,7,5,1,1,3,-1,4,4,4,4,4,4,-4
ARG,1999,4,1,3,32004,2,0,0,0,0,0,1,6,6,5,1,5,1,1,-1,1,5,6,5,1,1,4,4,3,4,4,4,4,4,-4
ARG,1999,4,1,4,32001,1,0,0,0,0,0,2,1,10,1,1,6,1,1,1,10,1,6,1,1,1,1,4,3,4,4,4,4,4,-4
ARG,1999,4,2,2,32008,3,0,0,1,1,0,1,1,10,10,1,5,1,1,5,1,3,5,5,1,2,2,3,2,3,2,4,4,3,-4
