Country,Events
Ukraine,201395
India,147025
Mexico,96855
Brazil,92885
United States,74689
Pakistan,57014
Iraq,45244
South Korea,39099
Turkey,35742
Colombia,29658
Russia,28838
Nigeria,28419
Iran,25060
Germany,23455
Spain,19363
Indonesia,18043
Argentina,16117
China,15842
South Africa,12910
Chile,12645
Morocco,11532
Japan,11368
Peru,10877
Philippines,10746
Canada,7672
Sweden,6371
Taiwan,6269
Thailand,5141
Jordan,3681
Serbia,3582
Australia,3473
Netherlands,3338
Romania,2864
Egypt,2735
Kyrgyzstan,2155
Cyprus,2081
Zimbabwe,1412
Malaysia,1219
New Zealand,1033
Uruguay,506
Vietnam,174
Singapore,31
