Country,Fatalities
Ukraine,145810
Nigeria,60934
Mexico,58864
Brazil,48698
Iraq,18411
Colombia,12877
Pakistan,11896
India,9311
Philippines,8958
Russia,5429
Egypt,3320
Iran,2709
Turkey,2545
South Africa,1711
Indonesia,1284
Thailand,611
United States,445
Peru,294
Zimbabwe,205
Morocco,200
Chile,163
Argentina,120
Kyrgyzstan,117
China,103
Jordan,101
Malaysia,51
Germany,49
Serbia,28
Vietnam,19
Canada,13
Cyprus,11
Australia,7
Uruguay,7
Spain,6
Romania,4
Netherlands,3
Japan,1
New Zealand,1
Sweden,1
Singapore,0
South Korea,0
Taiwan,0
