Survey Year,Country Name,E-Government Rank,E-Government Index,E-Participation Index,Online Service Index,Human Capital Index,Telecommunication Infrastructure Index
2024,"Iraq ",148,0.45721,0.09590,0.18755,0.49672,0.68736
2024,"Japan ",13,0.93510,0.98630,0.94274,0.91170,0.95091
2024,"Jordan ",89,0.68493,0.61640,0.75905,0.64579,0.64992
2024,"Kyrgyzstan ",78,0.73160,0.46580,0.60723,0.70610,0.88154
2024,Malaysia,57,0.81114,0.69860,0.72796,0.71921,0.98618
2024,"Mexico ",65,0.78499,0.73970,0.76366,0.76027,0.83101
2024,"Argentina ",42,0.85733,0.63010,0.79649,0.93298,0.84254
2024,"Morocco ",90,0.68411,0.43840,0.56184,0.60783,0.88273
2024,"Egypt ",95,0.66994,0.58900,0.70016,0.61503,0.69456
2024,"Netherlands ",10,0.95384,0.93150,0.92118,0.96881,0.97151
2024,"New Zealand ",16,0.92654,0.93150,0.94530,0.96152,0.87281
2024,"Nigeria ",144,0.48146,0.36990,0.53719,0.42357,0.48355
2024,"Pakistan ",136,0.50955,0.49320,0.70417,0.34996,0.47453
2024,"Peru ",58,0.80700,0.75340,0.83770,0.74690,0.83638
2024,"Philippines ",73,0.76212,0.72600,0.80543,0.72556,0.75544
2024,"Republic of Korea ",4,0.96789,0.97260,1.00000,0.91198,0.99170
2024,"Romania ",72,0.76364,0.68490,0.65477,0.74392,0.89224
2024,"Russian Federation ",43,0.85325,0.64380,0.77660,0.83194,0.95118
2024,"Australia ",8,0.95770,0.86300,0.92219,1.00000,0.95092
2024,"Chile ",31,0.88266,0.83560,0.86119,0.84129,0.94553
2024,"China ",35,0.87184,0.93150,0.92576,0.79023,0.89954
2024,"Brazil ",50,0.84026,0.86300,0.90631,0.80768,0.80685
2024,"Canada ",47,0.84516,0.91780,0.85516,0.87249,0.80782
2024,"Colombia ",68,0.77930,0.73970,0.75210,0.77931,0.80654
2024,"Cyprus ",38,0.86187,0.69860,0.82165,0.86980,0.89406
2024,"Spain ",17,0.92060,0.80820,0.90542,0.89610,0.96031
2024,"Germany ",12,0.93821,0.97260,0.92384,0.96724,0.92359
2024,"India ",97,0.66776,0.65750,0.81842,0.61487,0.57004
2024,"Indonesia ",64,0.79911,0.79450,0.80346,0.72934,0.86448
2024,"Iran (Islamic Republic of) ",101,0.65639,0.17810,0.37729,0.69316,0.89869
2024,"South Africa ",40,0.86162,0.83560,0.88721,0.80257,0.89512
2024,"Viet Nam ",71,0.77092,0.60270,0.70811,0.72665,0.87797
2024,"Sweden ",14,0.93262,0.79450,0.88361,0.92745,0.98679
2024,"Thailand ",52,0.83510,0.75340,0.76105,0.80320,0.94101
2024,Türkiye,27,0.89131,0.86300,0.92253,0.91923,0.83221
2024,Ukraine,30,0.88407,1.00000,0.98536,0.82402,0.84278
2024,"United States of America ",19,0.91945,0.94520,0.91358,0.88424,0.96052
2024,"Uruguay ",25,0.90059,0.86300,0.88321,0.87488,0.94374
2024,"Zimbabwe ",149,0.44807,0.27400,0.41003,0.53950,0.39471
2024,Serbia,39,0.86184,0.89040,0.85397,0.80941,0.92206
2024,"Singapore ",3,0.96912,0.95890,0.98306,0.93615,0.98806
