Series Name,Series Code,Country Name,Country Code,2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Argentina,ARG,90.9728317260742,95.0775527954102,99.266227722168,107.130661010742,107.047912597656,..
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Australia,AUS,103.322090148926,109.759559631348,110.139221191406,112.688293457031,106.240760803223,..
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Brazil,BRA,51.1916885375977,52.6240615844727,54.5727996826172,56.8306198120117,60.3906211853027,..
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Canada,CAN,69.5775985717773,72.8150634765625,74.1571426391602,77.8022918701172,77.3137588500977,..
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Chile,CHL,91.1974792480469,92.0659713745117,89.1124877929688,96.2227935791016,99.3372802734375,..
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Colombia,COL,57.3205413818359,56.6663017272949,55.7331085205078,58.3159217834473,59.2901382446289,..
"School enrollment, tertiary (% gross)",SE.TER.ENRR,China,CHN,54.0076217651367,57.2754402160645,62.2367782592773,67.3876190185547,71.9815521240234,74.823600769043
"School enrollment, tertiary (% gross)",SE.TER.ENRR,"Egypt, Arab Rep.",EGY,36.7171516418457,..,40.012939453125,..,37.8184509277344,39.3823089599609
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Germany,DEU,69.1634292602539,72.705078125,72.3894195556641,75.6655426025391,77.3656997680664,..
"School enrollment, tertiary (% gross)",SE.TER.ENRR,India,IND,28.5316867828369,29.0233592987061,29.8196392059326,31.5741767883301,32.6703071594238,33.1165237426758
"School enrollment, tertiary (% gross)",SE.TER.ENRR,"Iran, Islamic Rep.",IRN,62.7104721069336,59.9513702392578,57.3403282165527,55.7980690002441,60.6945381164551,..
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Indonesia,IDN,36.7954559326172,37.925968170166,38.6503868103027,41.0022087097168,42.6331672668457,45.1352272033691
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Iraq,IRQ,..,..,..,..,..,..
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Jordan,JOR,31.5562992095947,30.11083984375,30.2879695892334,30.4513092041016,32.5119781494141,33.0567016601562
"School enrollment, tertiary (% gross)",SE.TER.ENRR,"Korea, Rep.",KOR,93.3281784057617,93.9989166259766,96.8767700195312,100.317680358887,103.276039123535,..
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Malaysia,MYS,45.2784156799316,43.1977157592773,42.4097671508789,40.9142608642578,40.2706604003906,41.2618560791016
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Mexico,MEX,41.6382789611816,43.0441398620605,45.1654510498047,45.6506195068359,46.4061317443848,..
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Morocco,MAR,35.6224212646484,38.0248603820801,40.02001953125,42.8228912353516,46.1795501708984,47.709358215332
