country,iso_code,conflict_ranking,e_participation_index,media_freedom_score,polarization_score,wpf_score,enrollment_percentage,democracy_score
Argentina,ARG,95.0,0.6301,71.0,0.3748510645760282,0.5484210526315789,107.047912597656,6.51
Australia,AUS,132.0,0.863,76.0,0.3744472084907457,0.5805263157894737,106.240760803223,8.85
Brazil,BRA,6.0,0.863,65.0,0.3935066045279899,0.4517763157894737,60.3906211853027,6.49
Canada,CAN,145.0,0.9178,86.0,0.4493245242470563,0.615328947368421,77.3137588500977,8.69
Chile,CHL,52.0,0.8356,86.0,0.4652370113727386,0.4611184210526316,99.3372802734375,7.83
China,CHN,61.0,0.9315,9.0,0.3778242204313679,0.2169078947368421,74.823600769043,2.11
Colombia,COL,10.0,0.7397,65.0,0.3332759844815305,0.3633552631578947,59.2901382446289,6.35
Cyprus,CYP,82.0,0.6986,,0.4451013613491246,0.5172368421052632,98.3045806884766,7.38
Egypt,EGY,79.0,0.589,28.0,0.152478615182794,0.285328947368421,39.3823089599609,2.79
Germany,DEU,64.0,0.9726,77.0,0.3308867004429418,0.6046710526315789,77.3656997680664,8.73
India,IND,15.0,0.6575,50.0,0.4018353032906251,0.3067105263157894,33.1165237426758,7.29
Indonesia,IDN,40.0,0.7945,49.0,0.3319338827756387,0.4265131578947368,45.1352272033691,6.44
Iran,IRN,49.0,0.1781,12.0,0.32955350959476,0.2290131578947368,60.6945381164551,1.96
Iraq,IRQ,17.0,0.0959,40.0,0.4177319710282202,0.2825,12.054630279541,2.8
Japan,JPN,165.0,0.9863,78.0,0.4660851547355951,0.4865131578947368,64.6288299560547,8.48
Jordan,JOR,107.0,0.6164,47.0,0.1981254456850974,0.3473026315789473,33.0567016601562,3.28
Kyrgyzstan,KGZ,88.0,0.4658,48.0,0.3510172604266385,0.3941447368421052,56.0175933837891,3.52
Malaysia,MYS,108.0,0.6986,60.0,0.5105991672652923,0.4791447368421052,41.2618560791016,7.11
Mexico,MEX,4.0,0.7397,61.0,0.381958902592516,0.3814473684210526,46.4061317443848,5.32
Morocco,MAR,74.0,0.4384,54.0,0.374730527049436,0.3532236842105263,47.709358215332,4.97
Netherlands,NLD,130.0,0.9315,,0.3522288899622831,0.6381578947368421,89.3898620605469,9.0
New Zealand,NZL,165.0,0.9315,,0.3797840640283222,0.6199342105263158,77.0104675292969,9.61
Nigeria,NGA,5.0,0.3699,59.0,0.2803757792036828,0.3918421052631579,11.8107748031616,4.16
Pakistan,PAK,12.0,0.4932,27.0,0.3819923820178986,0.3286184210526316,11.2206001281738,2.84
Peru,PER,43.0,0.7534,,0.3148200451786986,0.4127631578947368,71.2465515136719,5.69
Philippines,PHL,29.0,0.726,60.0,0.3371813473332393,0.3698026315789474,45.2818946838379,6.63
Romania,ROU,102.0,0.6849,,0.4123212312801119,0.52,58.2390403747559,5.99
Russia,RUS,19.0,0.6438,20.0,0.4751534936879512,0.2945394736842106,53.9151916503906,2.03
Serbia,SRB,71.0,0.8904,70.0,0.4628682846867492,0.4549999999999999,73.2060012817383,6.26
Singapore,SGP,165.0,0.9589,53.0,0.5719033571742747,0.3807894736842105,98.0222320556641,6.18
South Africa,ZAF,35.0,0.8356,74.0,0.631189789074155,0.5828947368421052,27.1743202209473,7.16
South Korea,KOR,119.0,0.9726,66.0,0.3807075040778672,0.5317763157894737,103.276039123535,7.75
Spain,ESP,132.0,0.8082,,0.3621588074440976,0.5616447368421053,94.5131072998047,8.13
Sweden,SWE,118.0,0.7945,,0.3037432129838905,0.6457236842105264,83.8976135253906,9.39
Taiwan,TWN,165.0,,79.0,0.5346308761495294,0.5627631578947369,,8.78
Thailand,THA,75.0,0.7534,39.0,0.4521543766060255,0.4292105263157895,46.1752090454102,6.27
Turkey,TUR,44.0,0.863,31.0,0.4383106539765934,0.2892763157894736,127.577972412109,4.26
Ukraine,UKR,14.0,1.0,59.0,0.415040042611092,0.4683552631578947,75.9079437255859,4.9
United States,USA,54.0,0.9452,76.0,0.4669737585640349,0.5343421052631578,79.361930847168,7.85
Uruguay,URY,165.0,0.863,,0.4205187118138138,0.5284868421052632,76.3977432250977,8.67
Vietnam,VNM,143.0,0.6027,22.0,0.4068436089351421,0.2274999999999999,42.2242393493652,2.62
Zimbabwe,ZWE,70.0,0.274,48.0,0.3252126322400085,0.3826973684210526,9.72360515594482,2.98
