country,year,wave,polarization_score,polarization_zscore,mean,country_full
ARG,1999,4,0.6130537212205461,0.3052691188880545,0.6202743017631955,Argentina
ARG,2006,5,0.4582412147419814,-0.8667916706516818,0.4617286822179396,Argentina
ARG,2013,6,0.6471480928055465,0.5633921671335763,0.6606717161178077,Argentina
ARG,2017,7,0.4834918623233523,-0.6756230460114692,0.4879926446862934,Argentina
AUS,2005,5,0.6325280952239315,0.4527064977496927,0.6386034165914263,Australia
AUS,2012,6,0.632633951713982,0.453507920348736,0.6394277185091011,Australia
AUS,2018,7,0.5195351938876981,-0.4027447326770177,0.523364674974201,Australia
BRA,2006,5,0.6052735349141617,0.2463665695239966,0.6166674008017407,Brazil
BRA,2014,6,0.6693475574670024,0.7314607726377964,0.6853495743760684,Brazil
BRA,2018,7,0.6489001545624373,0.5766567471911839,0.6537470713049462,Brazil
CAN,2000,4,0.5962479164662925,0.1780350520986994,0.6096319033339574,Canada
CAN,2006,5,0.6226592555854015,0.3779910872077279,0.6346916755417115,Canada
CAN,2020,7,0.4856373772369111,-0.659379694871727,0.495552350261087,Canada
CHL,2000,4,0.6669737517941622,0.7134890685784205,0.6767313019030978,Chile
CHL,2006,5,0.6642709194187663,0.693026355843137,0.674269826153842,Chile
CHL,2012,6,0.6655561575490463,0.7027566886953549,0.6813411552570783,Chile
CHL,2018,7,0.5877307907770238,0.1135532522296715,0.5929982384676544,Chile
CHN,2001,4,0.3538580542615525,-1.657059926558282,0.3598946700253586,China
CHN,2007,5,0.5565763247972546,-0.1223122396774246,0.5615807593947241,China
CHN,2013,6,0.6099517346562229,0.2817844734648776,0.6225151333891543,China
CHN,2018,7,0.3129462024981082,-1.9667970296523043,0.3202306556072181,China
COL,2005,5,0.5985472976190686,0.195443299989503,0.6081920794755576,Colombia
COL,2012,6,0.6156385166916809,0.3248381930514292,0.6270591573680805,Colombia
COL,2018,7,0.3159435920456758,-1.9441042715567771,0.325362312053618,Colombia
CYP,2006,5,0.6732470999873792,0.7609835869713365,0.6826063312704523,Cyprus
CYP,2011,6,0.6753641392004363,0.7770113531252667,0.6879904895679219,Cyprus
CYP,2019,7,0.6432993411293568,0.534253882178789,0.6560887257762685,Cyprus
DEU,2006,5,0.6277056021506155,0.416196172016783,0.6418995691178156,Germany
DEU,2013,6,0.7118451598348468,1.0532033405852903,0.7226595633375309,Germany
DEU,2018,7,0.4478937791423097,-0.9451304548657464,0.4554772896864341,Germany
EGY,2001,4,0.1798906050153468,-2.974139732032227,0.183237430999346,Egypt
EGY,2008,5,0.6261989964979107,0.4047899009667189,0.6283688386317328,Egypt
EGY,2013,6,0.5684265948887017,-0.0325957352710849,0.5708234056540678,Egypt
EGY,2018,7,0.5250152281419246,-0.3612562675600032,0.5268225205808603,Egypt
ESP,2000,4,0.6745909991612636,0.7711580332265743,0.6764224650339512,Spain
ESP,2007,5,0.6530063748792895,0.6077442861508364,0.6663723957332275,Spain
ESP,2011,6,0.6450586058522733,0.5475729947430981,0.6557355473521729,Spain
HKG,2005,5,0.7067674887330699,1.0147611027070758,0.7176441865789149,Hong Kong
HKG,2014,6,0.6637830487087886,0.6893327645271864,0.6774764090474147,Hong Kong
HKG,2018,7,0.6666884774232679,0.7113293018257769,0.6739629519347654,Hong Kong
IDN,2001,4,0.6029558362766071,0.2288196428780958,0.6034490190277775,Indonesia
IDN,2006,5,0.6187962437563199,0.3487448409102974,0.629820124469143,Indonesia
IDN,2018,7,0.4329859580728876,-1.0579951899597635,0.4416416123237122,Indonesia
IND,2001,4,0.7106018533119037,1.0437904652429335,0.713378947946355,India
IND,2006,5,0.7322179875756727,1.2074427693640994,0.7358453788051383,India
IND,2012,6,0.5628441644317558,-0.0748594257037741,0.5671341659237058,India
IND,2023,7,0.4468858771307146,-0.9527611202064208,0.4544141821672492,India
IRN,2000,4,0.413822749239618,-1.203076786958173,0.4189988034258358,Iran
IRN,2007,5,0.4971351589167422,-0.5723318239977783,0.5059282310974091,Iran
IRN,2020,7,0.3472603569961822,-1.7070100400335435,0.3501832384461245,Iran
IRQ,2004,4,0.0067735043715645,-4.284781683892074,0.007125327195193,Iraq
IRQ,2006,5,0.2319959153442605,-2.5796587398148736,0.2283805362399073,Iraq
IRQ,2013,6,0.4811186114055326,-0.6935905501090847,0.4825065256899039,Iraq
IRQ,2018,7,0.6098852218531147,0.2812809156432341,0.6110234212585686,Iraq
JOR,2001,4,0.4661763059282119,-0.8067163611540552,0.4687382577132849,Jordan
JOR,2007,5,0.360800378370869,-1.6045006982253118,0.3604841042359293,Jordan
JOR,2014,6,0.5056057379175689,-0.5082024216814207,0.5079730568751829,Jordan
JOR,2018,7,0.3333648452323066,-1.81221074286747,0.3351689239535982,Jordan
JPN,2000,4,0.6004798252914383,0.2100741587037418,0.6042460669210884,Japan
JPN,2005,5,0.6033748612615963,0.2319920141930152,0.6087864392118958,Japan
JPN,2010,6,0.6367294961068414,0.4845146335909538,0.6455936830196247,Japan
JPN,2019,7,0.6160138338666301,0.3276796595091775,0.6186380692756492,Japan
KGZ,2003,4,0.6400886004062376,0.5099458763687574,0.6520049411474054,Kyrgyzstan
KGZ,2011,6,0.6809552696061151,0.8193409094819225,0.6894767258778322,Kyrgyzstan
KGZ,2020,7,0.640314330452623,0.5116548425395617,0.6450344663129833,Kyrgyzstan
KOR,2001,4,0.562765689835689,-0.07545354435166,0.5735996772986082,South Korea
KOR,2005,5,0.5328704447190851,-0.3017856759853676,0.5422866460835657,South Korea
KOR,2010,6,0.6388824778502378,0.5008145149082246,0.6465353105272225,South Korea
KOR,2018,7,0.6157402725941306,0.3256085707559074,0.6214272523347233,South Korea
MAR,2001,4,0.610380167931976,0.2850280734482798,0.6127329694328678,Morocco
MAR,2007,5,0.6571031668318691,0.6387604444686745,0.6600392608498237,Morocco
MAR,2011,6,0.7568518432874307,1.3939417611553648,0.7532116362434597,Morocco
MAR,2021,7,0.6068814303666815,0.2585396894898482,0.61076679605501,Morocco
MEX,2000,4,0.6910465223904441,0.8957401744694921,0.697623185409185,Mexico
MEX,2005,5,0.6599685892218476,0.6604541002666194,0.6723186623376134,Mexico
MEX,2012,6,0.6865838006584328,0.861953620167812,0.6970193998837216,Mexico
MEX,2018,7,0.4325937696526587,-1.0609643859240798,0.4387947066247079,Mexico
MYS,2006,5,0.6282407759125183,0.4202478871926721,0.6311370475813416,Malaysia
MYS,2012,6,0.5294937199684082,-0.3273503203888523,0.5359022499898438,Malaysia
MYS,2018,7,0.7747322221233279,1.5293112568916345,0.7816324370211969,Malaysia
