country,wave,mean,ci_low,ci_high
ARG,4,0.3863482896561395,0.3393962823973734,0.44243966141917157
ARG,5,0.36075568868019203,0.3122802942250239,0.40855146910167145
ARG,6,0.33342542162228844,0.2758304661727901,0.3897400334223056
ARG,7,0.3795590627897811,0.3421043156559304,0.42245113193438233
AUS,5,0.435117161162063,0.362522172906954,0.5061429995416611
AUS,6,0.4238131396296436,0.34559292187996254,0.4959906374346228
AUS,7,0.3771958365881069,0.28464201150361146,0.47676920459289945
BRA,5,0.39311617009184385,0.34029259941525025,0.44399731280385735
BRA,6,0.3710418335145604,0.31447803736708335,0.4212718032407128
BRA,7,0.39821931128061205,0.3455709576009031,0.4485343089069089
CAN,4,0.5021477959453493,0.4465177235890402,0.5566087946779097
CAN,5,0.4564907673556103,0.39852973343109344,0.5130786298773912
CAN,7,0.45412825220834596,0.37018101944609194,0.540204307168751
CHL,4,0.5032362208301081,0.44840214938333006,0.5537645283768412
CHL,5,0.4892555965711399,0.44470857248144385,0.5370528049856218
CHL,6,0.45610316668214607,0.40215720710555175,0.501064264591075
CHL,7,0.4701472108831472,0.4193248170425827,0.5193104388410853
CHN,4,0.5835265096444832,0.46844239770997187,0.6890232989288705
CHN,5,0.3859998976268778,0.30394114566111785,0.45722741260053484
CHN,6,0.4131748937466244,0.3134297722228916,0.5065784088282874
CHN,7,0.3820072981777422,0.32642790391357324,0.4438505423359097
COL,5,0.46184924339849676,0.4045155327608425,0.5131069415633848
COL,6,0.3880358945358937,0.344912600030919,0.43396302792203917
COL,7,0.34036119428416367,0.3029580412543188,0.38418190276624153
CYP,5,0.49749227812554414,0.43708199075418347,0.5524198702551818
CYP,6,0.4783392551433185,0.41719260226254107,0.5410414968924966
CYP,7,0.45031365963785264,0.4078052003623627,0.4961856212278428
DEU,5,0.4459875797024561,0.3888227655628359,0.5044078784539157
DEU,6,0.48199187887613326,0.41796071817727265,0.543573919768647
DEU,7,0.33662793058448826,0.24720036418490937,0.44055013065283505
EGY,4,0.491490268110512,0.4240935679361622,0.564553589555537
