country,year,wave,polarization_score
ARG,1999,4,0.6130537212205461
ARG,2006,5,0.45824121474198143
ARG,2013,6,0.6471480928055465
ARG,2017,7,0.48349186232335234
AUS,2005,5,0.6325280952239315
AUS,2012,6,0.632633951713982
AUS,2018,7,0.5195351938876981
BRA,2006,5,0.6052735349141617
BRA,2014,6,0.6693475574670024
BRA,2018,7,0.6489001545624373
CAN,2000,4,0.5962479164662925
CAN,2006,5,0.6226592555854015
CAN,2020,7,0.4856373772369111
CHL,2000,4,0.6669737517941622
CHL,2006,5,0.6642709194187663
CHL,2012,6,0.6655561575490463
CHL,2018,7,0.5877307907770238
CHN,2001,4,0.3538580542615525
CHN,2007,5,0.5565763247972546
CHN,2013,6,0.6099517346562229
CHN,2018,7,0.3129462024981082
COL,2005,5,0.5985472976190686
COL,2012,6,0.6156385166916809
COL,2018,7,0.3159435920456758
CYP,2006,5,0.6732470999873792
CYP,2011,6,0.6753641392004363
CYP,2019,7,0.6432993411293568
DEU,2006,5,0.6277056021506155
DEU,2013,6,0.7118451598348468
DEU,2018,7,0.44789377914230977
EGY,2001,4,0.17989060501534682
EGY,2008,5,0.6261989964979107
EGY,2013,6,0.5684265948887017
EGY,2018,7,0.5250152281419246
ESP,2000,4,0.6745909991612636
ESP,2007,5,0.6530063748792895
ESP,2011,6,0.6450586058522733
HKG,2005,5,0.7067674887330699
HKG,2014,6,0.6637830487087886
HKG,2018,7,0.6666884774232679
IDN,2001,4,0.6029558362766071
IDN,2006,5,0.6187962437563199
IDN,2018,7,0.43298595807288764
IND,2001,4,0.7106018533119037
IND,2006,5,0.7322179875756727
IND,2012,6,0.5628441644317558
IND,2023,7,0.4468858771307146
IRN,2000,4,0.41382274923961804
IRN,2007,5,0.49713515891674226
IRN,2020,7,0.34726035699618224
IRQ,2004,4,0.006773504371564599
IRQ,2006,5,0.23199591534426056
IRQ,2013,6,0.4811186114055326
IRQ,2018,7,0.6098852218531147
JOR,2001,4,0.4661763059282119
JOR,2007,5,0.36080037837086903
JOR,2014,6,0.5056057379175689
JOR,2018,7,0.3333648452323066
JPN,2000,4,0.6004798252914383
JPN,2005,5,0.6033748612615963
JPN,2010,6,0.6367294961068414
JPN,2019,7,0.6160138338666301
KGZ,2003,4,0.6400886004062376
KGZ,2011,6,0.6809552696061151
KGZ,2020,7,0.640314330452623
KOR,2001,4,0.562765689835689
KOR,2005,5,0.5328704447190851
KOR,2010,6,0.6388824778502378
KOR,2018,7,0.6157402725941306
MAR,2001,4,0.610380167931976
MAR,2007,5,0.6571031668318691
MAR,2011,6,0.7568518432874307
MAR,2021,7,0.6068814303666815
MEX,2000,4,0.6910465223904441
MEX,2005,5,0.6599685892218476
MEX,2012,6,0.6865838006584328
MEX,2018,7,0.4325937696526587
MYS,2006,5,0.6282407759125183
MYS,2012,6,0.5294937199684082
MYS,2018,7,0.7747322221233279
NGA,2000,4,0.578673828812216
NGA,2012,6,0.6158936310915326
NGA,2018,7,0.6323068331829178
NLD,2006,5,0.6404648899495078
NLD,2012,6,0.6040665492548554
NLD,2022,7,0.5158996555793748
NZL,2004,5,0.6663951569295036
NZL,2011,6,0.642178203012404
NZL,2020,7,0.5101533183628111
PAK,2001,4,0.1912354921015281
PAK,2012,6,0.44734475614048136
PAK,2018,7,0.4871882185638509
PER,2001,4,0.4137894417513459
PER,2006,5,0.19962242197183944
PER,2012,6,0.4822438404292479
PER,2018,7,0.2879255547894536
PHL,2001,4,0.6375892297499924
PHL,2012,6,0.6315134713978057
PHL,2019,7,0.5418143209081759
ROU,2005,5,0.6215277763905025
ROU,2012,6,0.5008911238454897
ROU,2018,7,0.5771054212883057
RUS,2006,5,0.6071965685764461
RUS,2011,6,0.6863650382287726
RUS,2017,7,0.6836475856892257
SGP,2002,4,0.6830232554975063
SGP,2012,6,0.6547928124052365
SGP,2020,7,0.6937674163168066
SRB,2001,4,0.6784748474339191
SRB,2006,5,0.6545165832579667
SRB,2017,7,0.6174109761072386
SWE,1999,4,0.28960227779724446
SWE,2006,5,0.37358837889591157
SWE,2011,6,0.39830146587007453
THA,2007,5,0.622755541408528
THA,2013,6,0.6610185596429727
THA,2018,7,0.5833104505262091
TUR,2001,4,0.5256854802366919
TUR,2007,5,0.6317353772040372
TUR,2011,6,0.5870675195061801
TUR,2018,7,0.5556107662916837
TWN,2006,5,0.5438702606247412
TWN,2012,6,0.6967787710263558
TWN,2019,7,0.6620158618445366
UKR,2006,5,0.6483225774577359
UKR,2011,6,0.6497580870956323
UKR,2020,7,0.5479840917125179
URY,2006,5,0.6646028274238116
URY,2011,6,0.687917276536884
URY,2022,7,0.5964811758025537
USA,1999,4,0.6533543234135519
USA,2006,5,0.7105108668475244
USA,2011,6,0.7039920043154091
USA,2017,7,0.6530165344420491
VNM,2001,4,0.3731181188964606
VNM,2006,5,0.41726978100248235
VNM,2020,7,0.46169327858009257
ZAF,2001,4,0.6814290673105632
ZAF,2006,5,0.6714631534015892
ZAF,2013,6,0.8297073441003399
ZWE,2001,4,0.6481800520761927
ZWE,2012,6,0.6175051250830668
ZWE,2020,7,0.7532245349468318
