country,year,wave,polarization_score
ARG,1999,4,8.672873631014745
ARG,2006,5,8.5853610678959
ARG,2013,6,9.179680982659699
ARG,2017,7,8.232108819297665
AUS,2005,5,8.929414401556283
AUS,2012,6,10.116779152261772
AUS,2018,7,9.551561207923076
BRA,2006,5,8.512260026082954
BRA,2014,6,9.05738795794481
BRA,2018,7,8.357540661273436
CAN,2000,4,9.198633394518195
CAN,2006,5,8.730955276964835
CAN,2020,7,9.76987953897686
CHL,2000,4,8.323681548605464
CHL,2006,5,8.966524285516869
CHL,2012,6,9.07005612301797
CHL,2018,7,8.672984691259524
CHN,2001,4,8.526173147707798
CHN,2007,5,8.998184812135191
CHN,2013,6,9.9712990042441
CHN,2018,7,9.366397047667036
COL,2005,5,8.25294863449971
COL,2012,6,9.500130506170713
COL,2018,7,8.514413728212674
CYP,2006,5,8.67249349778179
CYP,2011,6,9.577425196744183
CYP,2019,7,8.765161447397745
DEU,2006,5,8.933472749506098
DEU,2013,6,9.94331492292778
DEU,2018,7,4.948589071477345
EGY,2001,4,7.655705584835106
EGY,2008,5,8.132895785194473
EGY,2013,6,8.625073910024764
EGY,2018,7,9.221980788314916
ESP,2000,4,9.012150679152809
ESP,2007,5,9.430098508172797
ESP,2011,6,9.36035519024773
HKG,2005,5,9.057278835710985
HKG,2014,6,9.123392901392823
HKG,2018,7,8.840096992193274
IDN,2001,4,8.54232993708164
IDN,2006,5,9.335691674263781
IDN,2018,7,8.746489885970316
IND,2001,4,8.708396449367761
IND,2006,5,9.168879415656418
IND,2012,6,9.470891614273377
IND,2023,7,8.87784864259136
IRN,2000,4,8.963916165292465
IRN,2007,5,8.907066163116875
IRN,2020,7,7.919561506590234
IRQ,2004,4,4.031073842994605
IRQ,2006,5,3.8165793424731786
IRQ,2013,6,9.479333861560546
IRQ,2018,7,8.671202830716714
JOR,2001,4,9.697844818075268
JOR,2007,5,9.28512814074431
JOR,2014,6,9.0771669371067
JOR,2018,7,7.84754631880257
JPN,2000,4,7.681066749577232
JPN,2005,5,6.569295588462084
JPN,2010,6,8.912770113719766
JPN,2019,7,9.481687555427914
KGZ,2003,4,8.408882369033947
KGZ,2011,6,9.850206279775893
KGZ,2020,7,9.090038825682107
KOR,2001,4,8.463130749332764
KOR,2005,5,7.888776948375421
KOR,2010,6,9.36823826108306
KOR,2018,7,8.842976022448878
MAR,2001,4,9.175668511015068
MAR,2007,5,8.120133129325676
MAR,2011,6,9.122857286751362
MAR,2021,7,8.413196943086056
MEX,2000,4,9.110055227648783
MEX,2005,5,9.045888878041525
MEX,2012,6,9.614224085008338
MEX,2018,7,8.478900881041348
MYS,2006,5,9.089791629026221
MYS,2012,6,10.017705266480958
MYS,2018,7,9.295985452849338
NGA,2000,4,9.101876315690415
NGA,2012,6,9.470907422764839
NGA,2018,7,8.963480910775775
NLD,2006,5,9.413529279066843
NLD,2012,6,10.287074188950108
NLD,2022,7,10.264376547981291
NZL,2004,5,9.049609992948499
NZL,2011,6,9.817079107670944
NZL,2020,7,9.107850000728973
PAK,2001,4,3.65219261180784
PAK,2012,6,9.207959035839473
PAK,2018,7,8.632001443839926
PER,2001,4,8.092372573645807
PER,2006,5,4.882072291099915
PER,2012,6,9.351361907431642
PER,2018,7,8.682803961281161
PHL,2001,4,8.435353298737205
PHL,2012,6,8.898712786605842
PHL,2019,7,7.965986043325653
ROU,2005,5,9.1180557117778
ROU,2012,6,9.987803712683771
ROU,2018,7,9.199992370870827
RUS,2006,5,8.577760610846038
RUS,2011,6,9.344344567018284
RUS,2017,7,8.224444602960316
SGP,2002,4,11.09476519712787
SGP,2012,6,10.538574310463611
SGP,2020,7,10.128744883477646
SRB,2001,4,8.805212403810481
SRB,2006,5,9.059774116581725
SRB,2017,7,8.616029157723695
SWE,1999,4,8.787663189264121
SWE,2006,5,8.148618105257802
SWE,2011,6,9.964852820825172
THA,2007,5,8.965919611764432
THA,2013,6,9.157845191751932
THA,2018,7,8.798501980538328
TUR,2001,4,8.273026839276984
TUR,2007,5,8.689534974921981
TUR,2011,6,9.503557049534905
TUR,2018,7,9.671730655606336
TWN,2006,5,8.16534675023593
TWN,2012,6,9.36503468515984
TWN,2019,7,8.269319562783139
UKR,2006,5,8.582287250943844
UKR,2011,6,9.164535299857711
UKR,2020,7,8.10883727573868
URY,2006,5,8.87779919475575
URY,2011,6,9.46674068949277
URY,2022,7,8.510679062703518
USA,1999,4,9.050193077442755
USA,2006,5,9.371699369886137
USA,2011,6,10.02878859340162
USA,2017,7,9.14870745606851
VNM,2001,4,8.215227399327343
VNM,2006,5,9.246328692868005
VNM,2020,7,8.410469890326484
ZAF,2001,4,8.978281311514191
ZAF,2006,5,9.311445609298183
ZAF,2013,6,10.104035471711697
ZWE,2001,4,8.998159860918104
ZWE,2012,6,8.923040654127346
ZWE,2020,7,9.70875614168445
