country,year,wave,polarization_score,polarization_zscore
ARG,1999,4,0.3841201541036114,-0.40716443659865703
ARG,2006,5,0.3559356028189313,-0.6830082133006632
ARG,2013,6,0.33271851167062255,-0.9102351803613481
ARG,2017,7,0.37485106457602824,-0.49788153321134376
AUS,2005,5,0.4310068461474585,0.05171823567821955
AUS,2012,6,0.42099586879390727,-0.046259758499847585
AUS,2018,7,0.37444720849074575,-0.5018340952614965
BRA,2006,5,0.38789833665822454,-0.3701871530362037
BRA,2014,6,0.36659063636414563,-0.5787268052231795
BRA,2018,7,0.39350660452798997,-0.3152987223378766
CAN,2000,4,0.5003070181653312,0.7299628875950063
CAN,2006,5,0.455122159426306,0.2877361528697949
CAN,2020,7,0.4493245242470563,0.2309943737429466
CHL,2000,4,0.49403170772207516,0.6685460739952035
CHL,2006,5,0.48148327869103125,0.5457338986074152
CHL,2012,6,0.4513224799436896,0.25054847767300226
CHL,2018,7,0.4652370113727386,0.386730773486735
CHN,2001,4,0.5757357093687651,1.4681876988785587
CHN,2007,5,0.3788042710363933,-0.4591912809133553
CHN,2013,6,0.4074392810269884,-0.17893883971167956
CHN,2018,7,0.3778242204313679,-0.4687830908917616
COL,2005,5,0.45843291392117985,0.3201386919194602
COL,2012,6,0.38249377045376015,-0.42308194416547834
COL,2018,7,0.3332759844815305,-0.9047791628425196
CYP,2006,5,0.49305809362400843,0.6590172584696916
CYP,2011,6,0.4675757870037897,0.4096205011397144
CYP,2019,7,0.44510136134912465,0.18966204272136072
DEU,2006,5,0.4402448353528074,0.14213095170116077
DEU,2013,6,0.47838978621262584,0.5154577150406247
DEU,2018,7,0.3308867004429418,-0.9281632190994797
EGY,2001,4,0.4894534746689716,0.6237386515447177
EGY,2008,5,0.5773680569432675,1.4841635757088518
EGY,2013,6,0.35226855624847025,-0.7188978027825411
EGY,2018,7,0.15247861518279404,-2.674253108388672
ESP,2000,4,0.5630876410289182,1.3444003480135889
ESP,2007,5,0.48943338530747305,0.6235420358423309
