Ideology_1,Ideology_2,Ideology_3,Ideology_4
F119_oppose,E069_07_oppose,F121_support,A124_06_support
E069_02_support,E069_08_oppose,A124_09_oppose,A124_02_support
F123_oppose,E069_17_oppose,F118_support,F115_support
E069_06_support,E069_04_oppose,A124_02_oppose,F114A_support
E069_17_support,E069_06_oppose,F122_support,A124_07_support
F117_oppose,E069_05_oppose,A124_06_oppose,F116_support
F120_oppose,F123_oppose,A124_07_oppose,A124_09_support
F116_oppose,E069_13_oppose,F117_oppose,F117_support
G006_support,F117_oppose,F120_support,E069_01_support
E069_08_support,F119_oppose,A124_08_support,F121_support
