Ideology_1,Ideology_2,Ideology_3,Ideology_4
F121_support,A124_07_oppose,E069_08_support,F118_oppose
F114A_support,A124_09_oppose,E069_06_support,F119_oppose
F122_support,A124_06_oppose,E069_07_support,A124_09_support
F115_support,A124_02_oppose,E069_13_support,F120_oppose
F120_support,E069_07_oppose,E069_02_support,F122_oppose
F123_support,E069_05_oppose,E069_05_support,F123_oppose
F116_support,F117_oppose,E069_04_support,F117_oppose
F119_support,E069_08_oppose,G006_support,A124_08_support
C002_support,E069_04_oppose,F117_oppose,F116_oppose
G006_support,F114A_oppose,F116_oppose,E039_oppose
