Ideology_1,Ideology_2,Ideology_3,Ideology_4,Ideology_5,Ideology_6,Ideology_7
F118_oppose,A124_06_support,E069_07_oppose,E069_08_support,F115_support,F122_support,E069_06_oppose
F119_oppose,A124_02_support,E069_08_oppose,E069_07_support,F114A_support,F121_support,E069_02_oppose
F120_oppose,A124_07_support,E069_01_support,E069_05_support,F123_support,F114A_oppose,E069_17_oppose
F115_oppose,A124_09_support,E069_02_support,E069_17_support,F116_support,F117_oppose,E069_04_oppose
F123_oppose,C002_support,E069_05_oppose,E069_13_support,F122_support,A124_02_oppose,E069_07_oppose
F117_oppose,F114A_support,G006_support,E069_06_support,F121_support,F116_oppose,E069_08_oppose
F116_oppose,F118_oppose,F123_oppose,E069_04_support,F117_support,F115_oppose,E069_05_oppose
A124_08_support,A124_08_support,F117_oppose,E069_02_support,F119_support,A124_06_oppose,F117_oppose
F122_oppose,G006_support,A124_07_oppose,E069_01_support,A124_08_support,F118_support,E069_13_oppose
F114A_oppose,F119_oppose,F116_oppose,E037_oppose,F120_support,A124_09_oppose,F123_oppose
