Ideology_1,Ideology_2,Ideology_3,Ideology_4
A124_09_oppose,F115_support,F119_oppose,F123_oppose
A124_07_oppose,F114A_support,F118_oppose,F117_oppose
A124_02_oppose,F122_support,F120_oppose,F119_oppose
A124_06_oppose,E069_06_oppose,E069_02_support,F116_oppose
F121_support,E069_17_oppose,F123_oppose,F120_oppose
F117_oppose,F121_support,G006_support,F115_oppose
E069_06_support,E069_07_oppose,E069_06_support,F114A_oppose
F114A_oppose,F116_support,F117_oppose,F118_oppose
F116_oppose,E069_08_oppose,E069_08_support,E069_05_oppose
F115_oppose,E069_13_oppose,E069_17_support,E069_07_oppose
