,Ideology_1,Ideology_2,Ideology_3,Ideology_4,Ideology_5,Ideology_6,Ideology_7,Ideology_8,Ideology_9,Ideology_10
A124_02_support,2.9952926540284275e-06,0.07259776145532325,1.282088782821716e-06,0.004561200416855655,6.241340093783784e-06,2.9014531091795964e-07,4.2943444208126733e-07,4.649284854303757e-06,4.659917726938306e-06,1.0385123429098497e-06
A124_06_support,2.9952652731411285e-06,0.0869138248754728,1.282094771004208e-06,0.006117347982022203,6.241368264035688e-06,2.9015229433025285e-07,4.2941342058785574e-07,4.649330455368501e-06,4.659891890273807e-06,1.038519756370848e-06
A124_07_support,2.5713411009508934e-05,0.05316941750274195,1.2820165400810024e-06,0.05501752274368074,6.241579811943602e-06,0.04737584003361527,4.293551720629866e-07,4.649618916630664e-06,0.0004726004706828121,1.0385518023492134e-06
A124_08_support,0.012223001411366743,0.04658646894002224,0.03632987418126402,0.05915621758785004,0.0006715254991357202,0.06046056588679603,4.5427911315084267e-07,0.06120579108857835,0.00880002311232071,0.07495144228874057
A124_09_support,3.0301791192798618e-06,0.04804879682485006,1.2819726245897835e-06,0.06477953618998111,6.241722433371298e-06,0.06132323070494911,4.293782532418888e-07,4.649810802491215e-06,0.0011121545843416328,1.038682696656702e-06
C002_support,0.031974778295750815,0.048974411794964506,0.023014200070196455,0.032313559605806924,0.03307110502653986,0.038028233645846836,0.03384696662598754,4.649024850978047e-06,0.04806193183207978,0.05390978138759463
E036_support,0.04985732809790051,0.0221684892656868,1.2820714602573223e-06,0.01962192695526287,0.15495262742430785,0.022683219211461977,0.021834914402212875,0.00013239362447952394,0.01723755410697842,1.0385745801964841e-06
E037_support,0.05431029196253647,0.039995330694782526,0.023639001282355777,0.03542897202763595,8.350048020734697e-06,0.037671954249928946,0.035191655750487244,0.033988094848030115,0.012957211241007599,0.04923076006685536
E039_support,2.994874963350672e-06,5.381475359903817e-07,1.2819285581535933e-06,1.1503192996432822e-06,0.4661714137326521,2.9012676818977127e-07,4.29335216350733e-07,4.649188721265469e-06,4.6593838144446006e-06,1.0384622368977686e-06
F114A_support,2.9949514567636898e-06,5.381706282403046e-07,1.2819333760290953e-06,1.1503590710795894e-06,6.2410656837854e-06,2.9013373725374505e-07,4.2934226743236217e-07,4.6492068828818075e-06,0.2751168719606608,1.0384753300812016e-06
F115_support,2.9950225596487115e-06,5.38160680327631e-07,1.2819394812430924e-06,1.150359046934157e-06,6.240975696300336e-06,2.901291034629225e-07,4.2933841287885864e-07,4.649217546591203e-06,0.2500672224677294,1.0384846110608086e-06
F116_support,2.9950914404021558e-06,5.381523273402123e-07,1.281961343076185e-06,1.1503674520083027e-06,6.240855027730444e-06,2.901274869995639e-07,4.2933081207494497e-07,4.649211236524516e-06,0.1872683489817956,1.0384763271731396e-06
F117_support,2.995223779438707e-06,5.381508676075425e-07,1.281937001394691e-06,1.1503673339709842e-06,6.2408275562343995e-06,2.901244377961741e-07,4.2932918024076587e-07,4.649200264254754e-06,0.11770950109195477,1.03845181018459e-06
F118_support,0.05460073571064577,5.381524630596044e-07,0.07571640162106631,1.1503322016646647e-06,6.241027057305074e-06,2.901219756001677e-07,4.293327954328205e-07,4.652984417813975e-06,5.062356437241042e-06,1.0384597368990066e-06
F119_support,0.07842571053972495,5.381466768770966e-07,0.02364270915731588,1.1503722956672263e-06,6.240956015435155e-06,2.901229338744244e-07,4.2932791799742487e-07,4.649235438744009e-06,4.670563171990778e-06,1.0384478796226495e-06
F120_support,0.06821100327073293,5.381580075712956e-07,0.04483940809712745,0.03579859537414271,6.240952277395191e-06,2.901204964756393e-07,4.2933133585585926e-07,4.686488697215439e-06,4.662650684449189e-06,1.0384956103215185e-06
F121_support,0.07848311085673236,5.38174793198447e-07,0.06248112812523348,0.11347674516588083,6.241862181589532e-06,2.901258444057648e-07,4.2935492541922036e-07,5.023617716986453e-06,1.7034173607147806e-05,1.0386852055758366e-06
F122_support,0.11966977773127169,5.38184502755435e-07,0.03202949010587542,1.1835039658773418e-06,6.241455448409119e-06,2.9013244040721286e-07,4.2933502466378653e-07,4.656558862198454e-06,4.662460934656494e-06,0.04509068549949511
F123_support,0.10281537704585997,5.381427108368876e-07,1.2819438375881952e-06,1.1503333704825101e-06,6.240689597495792e-06,2.9012106247010444e-07,4.2932190807707854e-07,4.649243952618178e-06,4.659470273602876e-06,1.0384506233080704e-06
A124_02_oppose,0.04876574305546949,5.381942312080093e-07,0.05965563174635126,0.0503485397931625,0.023057645428387983,0.05846365859693259,0.04651091950946813,0.04804240449538862,0.01267845158224509,0.06279206591344182
A124_06_oppose,0.04788674349241456,5.381712486295743e-07,0.05876480731450319,0.04417655234728088,0.026281990006352673,0.053099571194577706,0.04573671304737793,0.0460585207722639,0.014407460030832975,0.06095375615853096
A124_07_oppose,0.04239782218013708,5.381872821057152e-07,0.05474761701777082,1.1504932708174848e-06,0.05660314815206968,2.915377562282958e-07,0.06836634244904113,0.06269463402443759,0.0012989023557840411,0.08676069633346735
A124_08_oppose,0.04568904535959749,5.382059664723431e-07,0.02220147787158688,1.1504710583480207e-06,0.00021513649101936592,2.9013184411227844e-07,0.05717443372014166,5.134433228603312e-06,0.00044566920911204034,0.0005174618368560119
A124_09_oppose,0.05432889561774905,5.38230780440171e-07,0.06662559936394295,1.1505341915811017e-06,0.0018210246020061742,2.901555523337877e-07,0.07105779040743777,0.018029840015419605,0.007249332570467136,0.035269380465818075
